Modernized RGS Subscribers,20240222
RGS1 Base (ND),8807280
RGS30 Base (ND),17275507
RGS90 Base (ND),19739056
RGS90_OFFNET_IN_OUT,17261091
Activations,25744
Returners,10516
Churn,28383
,
Subscribers - Business Defined 20240222,20240222
RGS:1 Base (ND),10503453
RGS30 Base (ND),18963845
RGS90 Base (ND),22936918
Total Subscriber Base (Active in IN),
Total Installed Base (Market Stock),
New sim sales: Fully Verified,26776
Activations (Active IN),27739
RGS Activation,26536
Reconnections,3643
Churn,19278
